Kanji,Hiragana,English,Origin,Difficulty,Category
羽,わ,Counter for birds and rabbits,Duolingo 2.1,1,Counter
歳,さい,Counter for age,Duolingo 2.1,1,Counter
個,こ,Counter for round objects,Duolingo 2.1,1,Counter
冊,さつ,Counter for books,Duolingo 2.1,1,Counter
一,いち,One,Duolingo 2.1,1,Number
二,に,Two,Duolingo 2.1,1,Number
三,さん,Three,Duolingo 2.1,1,Number
四,よん,Four,Duolingo 2.1,1,Number
五,ご,Five,Duolingo 2.1,1,Number
六,ろく,Six,Duolingo 2.1,1,Number
七,なな,Seven,Duolingo 2.1,1,Number
八,はち,Eight,Duolingo 2.1,1,Number
九,きゅう,Nine,Duolingo 2.1,1,Number
十,じゅう,Ten,Duolingo 2.1,1,Number
百,きゃく,Hundred,Duolingo 2.1,1,Number
千,せん,Thousand,Duolingo 2.1,1,Number
万,まん,Ten thousand,Duolingo 2.1,1,Number
円,えん,Yen ,Duolingo 2.1,1,Counter
一人,ひとり,One person,Duolingo 2.1,1,Noun - Living
子,こ,Young (thing),Duolingo 2.1,1,Noun - Concept
申し,もうし,To be called (name),Duolingo 2.1,1,Noun - Concept
外国人,がいこくじん,Foreigner,Duolingo 2.1,2,Noun - Living
年生,ねんせい,Student in ... year,Duolingo 2.1,1,Noun - Concept
大学,だいがく,University,Duolingo 2.1,1,Noun - Concept
高校,こうこう,High school,Duolingo 2.1,1,Noun - Concept
中学,ちゅうがく,Middle school,Duolingo 2.1,1,Noun - Concept
小学,しょうがく,Elementary school,Duolingo 2.1,1,Noun - Concept
留学生,りゅうがくせい,Foreign exchange student ,Duolingo 2.1,1,Noun - Living
彼,かれ,He,Duolingo 2.1,1,Noun - Living
彼女,かのじょ,Her,Duolingo 2.1,1,Noun - Living
姉妹,しまい,Sisters ,Duolingo 2.1,1,Noun - Relationship
両親,りょうしん,Parents,Duolingo 2.1,1,Noun - Relationship
親戚,しんせき,Relatives,Duolingo 2.1,2,Noun - Relationship
友達,ともだち,Friend,Duolingo 2.1,1,Noun - Relationship
息子,むすこ,Son,Duolingo 2.1,1,Noun - Relationship
娘,むすめ,Daughter,Duolingo 2.1,1,Noun - Relationship
孫,まご,Grandchild,Duolingo 2.1,1,Noun - Relationship
孫息子,まごむすこ,Grandson,Duolingo 2.1,1,Noun - Relationship
孫娘,まごむすめ,Granddaughter,Duolingo 2.1,1,Noun - Relationship
夫,おっと,My husband,Duolingo 2.1,1,Noun - Relationship
妻,つま,My wife,Duolingo 2.1,1,Noun - Relationship
ご主人,ごしゅじん,Your husband,Duolingo 2.1,1,Noun - Relationship
奥さん,おくさん,Your wife,Duolingo 2.1,1,Noun - Relationship
祖父,そふ,Grandfather,Duolingo 2.1,1,Noun - Relationship
祖母,そぼ,Grandmother ,Duolingo 2.1,2,Noun - Relationship
父親,ちちおや,Husband,Duolingo 2.1,1,Noun - Relationship
母親,ははおや,Wife,Duolingo 2.1,1,Noun - Relationship
在宅,ざいたく,At home,Duolingo 2.1,1,Noun - Concept
行ってきます,いってきます,See you later,Duolingo 2.1,2,Phrase
似ています,にています,Resembles,Duolingo 2.1,1,Verb - Ichidan
走る,はしる,To run,Duolingo 2.1,1,Verb - Godan
書く,かく,To write,Duolingo 2.1,1,Verb - Godan
描く,かく,To draw,Duolingo 2.1,1,Verb - Godan
習う,ならう,To learn,Duolingo 2.1,1,Verb - Godan
仕事する,しごとする,To work,Duolingo 2.1,1,Verb - suru
旅行する,りょこうする,To travel,Duolingo 2.1,1,Verb - suru
散歩する,さんぽする,To walk,Duolingo 2.1,1,Verb - suru
風呂,ふろ,Bathtub,Duolingo 2.1,1,Noun - Object
台,だい,Table,Duolingo 2.1,1,Noun - Object
事,こと,Thing,Duolingo 2.1,1,Noun - Object
仕事,しごと,Job,Duolingo 2.1,1,Noun - Object
棚,たな,Shelf,Duolingo 2.1,1,Noun - Object
本棚,ほんだな,Bookshelf,Duolingo 2.1,1,Noun - Object
隅,すみ,Corner,Duolingo 2.1,1,Noun - Object
片隅,かたすみ,Corner,Duolingo 2.1,1,Noun - Object
布団,ふとん,Futon,Duolingo 2.1,1,Noun - Object
鏡,かがみ,Mirror,Duolingo 2.1,1,Noun - Object
冷蔵庫,れいぞうこ,Refrigerator,Duolingo 2.1,1,Noun - Object
紙,かみ,Paper,Duolingo 2.1,1,Noun - Object
手紙,てがみ,Letter,Duolingo 2.1,1,Noun - Object
絵,え,Picture,Duolingo 2.1,1,Noun - Object
学校,がっこう,School,Duolingo 2.1,1,Noun - Place
会,かい,Meeting,Duolingo 2.1,1,Noun - Place
台所,だいどころ,Kitchen,Duolingo 2.1,1,Noun - Place
庭,にわ,Yard,Duolingo 2.1,1,Noun - Place
寝室,しんしつ,Bedroom,Duolingo 2.1,1,Noun - Place
所,ところ,Place,Duolingo 2.1,2,Noun - Place
京都,きょうと,Kyoto,Duolingo 2.1,1,Noun - Place
東京,とうきょう,Tokyo,Duolingo 2.1,1,Noun - Place
大阪,おおさか,Osaka,Duolingo 2.1,1,Noun - Place
阪,さか,Hill,Duolingo 2.1,1,Noun - Place
韓国,かんこく,Korea,Duolingo 2.1,1,Noun - Place
台湾,たいわん,Taiwan,Duolingo 2.1,1,Noun - Place
違い,ちがい,"That's not right, difference",Duolingo 2.1,1,Noun - Concept
直美,なおみ,Naomi (name),Duolingo 2.1,1,Noun - Name
健太,けんた,Kenta (name),Duolingo 2.1,1,Noun - Name
冷たい,つめたい,Cold (thing),Duolingo 2.1,2,Adjective - い
高い,たかい,Expensive,Duolingo 2.1,1,Adjective - い
甘い,あまい,Sweet,Duolingo 2.1,1,Adjective - い
低い,ひくい,Low,Duolingo 2.1,1,Adjective - い
